SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION,,
The Gulfstream Sale (2021),3/31/21,73,CH,F,FROSTED,AUSPICIOUS,INDIAN CHARLIE,CLASSIC BLOODSTOCK AGENT,OUT,0,,3/7/19,NEW YORK,23,,,https://vimeo.com/529153698,10.4,
The Gulfstream Sale (2021),3/31/21,74,B,F,BERNARDINI,BACKSLASH,SHARP HUMOR,EDDIE WOODS AGENT VIII,STONESTREET STABLES LLC,500000,,2/16/19,NEW YORK,24,,,https://vimeo.com/524659131,10.1,https://www.youtube.com/watch?v=lsUhmxfdgU0
The Gulfstream Sale (2021),3/31/21,75,GRR,C,MOHAYMEN,BASHOOSHA,DISTORTED HUMOR,GENE RECIO AGENT,OUT,0,,2/9/19,KENTUCKY,24,,,,,
The Gulfstream Sale (2021),3/31/21,76,CH,C,GORMLEY,BEWARE OF THE BOP,BOP,Q BAR J THOROUGHBREDS LLC (JENN & QUINCY ADAMS) AGENT,NOT SOLD,170000,,5/3/19,VIRGINIA,23,,,https://vimeo.com/521215127,10.2,https://www.youtube.com/watch?v=B28TrbtKzT4
The Gulfstream Sale (2021),3/31/21,77,DKB,C,CLASSIC EMPIRE,BOLD QUALITY,ELUSIVE QUALITY,SBM TRAINING & SALES LLC AGENT,KLARAVICH STABLE,410000,,3/16/19,KENTUCKY,23,,,https://vimeo.com/518145722/13a420b17a,10.2,https://www.youtube.com/watch?v=f2wcLA1k5qE
The Gulfstream Sale (2021),3/31/21,78,DKB,C,ARROGATE,BOOTERY,STORM BOOT,SBM TRAINING & SALES LLC AGENT,NOT SOLD,95000,,2/10/19,KENTUCKY,23,,,https://vimeo.com/518145042/07ab1644df,10.1,https://www.youtube.com/watch?v=HolSOYI4LZc
The Gulfstream Sale (2021),3/31/21,79,DKB,C,CURLIN,BROKEN SILENCE,BROKEN VOW,Q BAR J THOROUGHBREDS LLC (JENN & QUINCY ADAMS) AGENT,NOT SOLD,240000,,2/26/19,KENTUCKY,23,,,https://vimeo.com/521215242,11,https://www.youtube.com/watch?v=GZdQBsCgQrA
The Gulfstream Sale (2021),3/31/21,80,GRR,F,ARROGATE,BSHARPSONATA,PULPIT,RANDY BRADSHAW AGENT IV,OXO EQUINE LLC,200000,Y,4/5/19,KENTUCKY,23,,,https://vimeo.com/526741986/b4a8735b17,10.3,https://www.youtube.com/watch?v=_zZeuAQteMM
The Gulfstream Sale (2021),3/31/21,81,B,F,PRACTICAL JOKE,BUSTLE,MORE THAN READY,DE MERIC SALES AGENT,OUT,0,,2/28/19,KENTUCKY,25,,,https://vimeo.com/528625602,10.4,https://www.youtube.com/watch?v=xHsyW4P6QnM
The Gulfstream Sale (2021),3/31/21,82,B,F,UNCLE MO,CALAIS,A.P. INDY,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT,ARTHUR HOYEAU AGENT,110000,,4/27/19,KENTUCKY,23,,,https://vimeo.com/526931590,10.3,https://www.youtube.com/watch?v=umxEY4LyFbo
The Gulfstream Sale (2021),3/31/21,83,B,C,MEDAGLIA D'ORO,CALLBACK,STREET SENSE,EDDIE WOODS AGENT XXIV,DONATO LANNI AGENT,175000,,2/11/19,KENTUCKY,24,,,https://vimeo.com/524659337,10.3,https://www.youtube.com/watch?v=DT_yVhvYhSQ
The Gulfstream Sale (2021),3/31/21,84,DKB,C,INTO MISCHIEF,CAMPIONESSA,A.P. INDY,WHITE LILAC AGENT,OUT,0,,2/27/19,FLORIDA,23,,,,10.3,https://www.youtube.com/watch?v=BosBaP1yd0c
The Gulfstream Sale (2021),3/31/21,85,DKB,F,PRACTICAL JOKE,CARIBBEAN LADY,SPEIGHTSTOWN,TOP LINE SALES LLC AGENT X,CHINA HORSE CLUB,500000,,4/1/19,NEW YORK,23,,,https://vimeo.com/528107105,10.2,https://www.youtube.com/watch?v=hx3U6eu8Aqc
The Gulfstream Sale (2021),3/31/21,86,DKB,C,CURLIN,CATCH THE THRILL,A.P. INDY,SCANLON TRAINING & SALES AGENT I,OUT,0,,3/12/19,KENTUCKY,23,,,,,
The Gulfstream Sale (2021),3/31/21,87,GRR,C,PIONEEROF THE NILE,CHANEL NUMBER MINE,VALUE PLUS,CARY FROMMER AGENT,NOT SOLD,240000,,4/14/19,IOWA,24,,,https://vimeo.com/528636637,10.4,https://www.youtube.com/watch?v=i3jWDAigIME
The Gulfstream Sale (2021),3/31/21,88,B,C,LOOKIN AT LUCKY,CHASETHEGOLD,TOUCH GOLD,TOM MCCROCKLIN AGENT I,MICHAEL J. MAKER,125000,,4/3/19,KENTUCKY,24,,,https://vimeo.com/529126954,21.4,https://www.youtube.com/watch?v=njOHUETgf28
The Gulfstream Sale (2021),3/31/21,89,B,C,NOT THIS TIME,CHELAN ECHO,LION HEART,SCANLON TRAINING & SALES AGENT FOR EXCEL BLOODSTOCK (BRUNO DEBERDT),OUT,0,,3/21/19,KENTUCKY,23,,,https://vimeo.com/524057714,10.2,https://www.youtube.com/watch?v=8AP9YLj2XUM
The Gulfstream Sale (2021),3/31/21,90,DKB,C,MOHAYMEN,CLASSIC WEST,GONE WEST,Q BAR J THOROUGHBREDS LLC (JENN & QUINCY ADAMS) AGENT,NOT SOLD,220000,,4/12/19,KENTUCKY,23,,,https://vimeo.com/521215311,10.2,https://www.youtube.com/watch?v=irvvdgiAOkY
The Gulfstream Sale (2021),3/31/21,91,B,C,LEMON DROP KID,CLEAN ELEVEN,OFFICER,CRANE THOROUGHBRED SERVICES AGENT,THREE DIAMONDS FARM LLC,125000,,4/25/19,NEW YORK,23,,,https://youtu.be/SUNwF4MZtk4,10.2,https://www.youtube.com/watch?v=YCeDfSmM7Sg
The Gulfstream Sale (2021),3/31/21,92,CH,C,NYQUIST,COMPLETE GAME,AFLEET ALEX,DE MERIC SALES AGENT,OUT,0,,3/17/19,KENTUCKY,25,,,https://vimeo.com/528625650,10.4,https://www.youtube.com/watch?v=lH9LKAgUKdE
The Gulfstream Sale (2021),3/31/21,93,CH,C,GHOSTZAPPER,CONGA BELLA,CONGAREE,TOM MCCROCKLIN AGENT I,GLENN DELRUSSO,120000,,4/10/19,NEW YORK,24,,,https://vimeo.com/529126935,22,https://www.youtube.com/watch?v=ZuVV-epvXmc
The Gulfstream Sale (2021),3/31/21,94,B,C,STREET SENSE,CONQUEST MAJESTIC,MAJESTICPERFECTION,PAUL SHARP AGENT III,OUT,0,,4/22/19,KENTUCKY,24,,,https://vimeo.com/521199950,,
The Gulfstream Sale (2021),3/31/21,95,B,C,GHOSTZAPPER,CORAL SUN,A.P. INDY,EDDIE WOODS AGENT XXII,NOT SOLD,145000,,3/25/19,KENTUCKY,24,,,https://vimeo.com/524659550,10.2,https://www.youtube.com/watch?v=JvVV2GqFmh0
