SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Midlantic Two-Year-Olds in Training (2018),2018-05-21,73,DKB,F,WITH DISTINCTION,AMYLIMEHOUSE,LIMEHOUSE,SCANLON TRAINING & SALES AGENT V,KOID,13000,,2016-04-22,KENTUCKY,T,,,,10.4,https://www.youtube.com/watch?v=gp1kKCP-ucs
Midlantic Two-Year-Olds in Training (2018),2018-05-21,74,DKB,C,RUN AWAY AND HIDE,ANCHOVY,LAWYER RON,TOP LINE SALES LLC AGENT XVIII,KIRK NESBETZ,9500,,2016-05-02,KENTUCKY,K,,,,11.1,https://www.youtube.com/watch?v=xeoz-EcewsQ
Midlantic Two-Year-Olds in Training (2018),2018-05-21,75,DKB,F,ALTERNATION,AND STAY OUT,EXCHANGE RATE,BOBBY DODD AGENT,JOE SHARP AGENT,135000,,2016-02-19,PENNSYLVANIA,J,,,,10.2,https://www.youtube.com/watch?v=ishG8kY_qfw
Midlantic Two-Year-Olds in Training (2018),2018-05-21,76,DKB,F,CENTRAL BANKER,ANGEL'S WAGER,VALID WAGER,GRASSROOTS TRAINING & SALES LLC,PEREZ STABLES LLC,12000,,2016-05-29,NEW YORK,I,,,,10.3,https://www.youtube.com/watch?v=26inb2xOHps
Midlantic Two-Year-Olds in Training (2018),2018-05-21,77,DKB,F,SHANGHAI BOBBY,ANJORIE,A. P JET,ALL IN SALES AGENT,CLEAR STARS STABLE,73000,,2016-02-26,NEW YORK,K,,,,10.3,https://www.youtube.com/watch?v=gJw0WzUAe_4
Midlantic Two-Year-Olds in Training (2018),2018-05-21,78,B,C,UNCLE MO,ANOTHER MOOCHIE,SOUTHERN HALO,RICEHORSE STABLES (BRANDON & ALI RICE) AGENT,OUT,0,,2016-03-20,KENTUCKY,D-E,,,,,
Midlantic Two-Year-Olds in Training (2018),2018-05-21,79,GRR,C,CROSS TRAFFIC,A. P. ANDREA,NOTIONAL,RICHARDSON BLOODSTOCK AGENT,CALUMET FARM,72000,,2016-04-22,KENTUCKY,J,,,,10.3,https://www.youtube.com/watch?v=c7-MFVjgT8o
Midlantic Two-Year-Olds in Training (2018),2018-05-21,80,B,C,GHOSTZAPPER,ARABIAN SONG,FORESTRY,NIALL BRENNAN STABLES AGENT,DRAW AWAY STABLES,9000,,2016-05-12,KENTUCKY,J,,,,11,https://www.youtube.com/watch?v=eziWPIJbE8w
Midlantic Two-Year-Olds in Training (2018),2018-05-21,81,CH,C,CONGRATS,ARISTO,ADCAT,TOP LINE SALES LLC AGENT II,KOID,100000,,2016-03-22,NEW YORK,K,,,,10.3,https://www.youtube.com/watch?v=Jpz85jcZbNo
Midlantic Two-Year-Olds in Training (2018),2018-05-21,82,CH,C,MALIBU MOON,ARISTRA,AFLEET ALEX,WHITE PINE THOROUGHBREDS AGENT,CALUMET FARM,120000,,2016-03-28,VIRGINIA,T,,,,10.4,https://www.youtube.com/watch?v=ky7Zt0lK2E0
Midlantic Two-Year-Olds in Training (2018),2018-05-21,84,CH,G,TRAPPE SHOT,ARTILLERY PUNCH,KITTEN'S JOY,WES CARTER AGENT I,NOT SOLD,37000,,2016-03-03,KENTUCKY,E-F,,,,22.4,https://www.youtube.com/watch?v=M80qHImyg7E
Midlantic Two-Year-Olds in Training (2018),2018-05-21,85,B,C,KANTHAROS,ASANA,ARCH,COASTAL EQUINE LLC AGENT VI,AMANDA RAWLINGS,7500,,2016-05-07,KENTUCKY,F,,,,11,https://www.youtube.com/watch?v=S2029W5O4Fo
Midlantic Two-Year-Olds in Training (2018),2018-05-21,86,DKB,C,FED BIZ,ASCENDANT,MEDAGLIA D'ORO,MCKATHAN BROS. AGENT,EAST HICKMAN,150000,Y,2016-03-03,KENTUCKY,J-K,,,,10.1,https://www.youtube.com/watch?v=xl7yhB0PbdA
Midlantic Two-Year-Olds in Training (2018),2018-05-21,87,GRR,F,HONORABLE DILLON,ASCENDED DREAMS,THUNDER GULCH,DEANS LIST AGENT,LOLITA SHIVMANGEL,19500,,2016-05-14,NEW YORK,H,,,,11.1,https://www.youtube.com/watch?v=ykc-A0PYNj4
Midlantic Two-Year-Olds in Training (2018),2018-05-21,88,DKB,C,FED BIZ,ASCOT MOMMA,PURGE,WAVERTREE STALBES INC. (CIARAN DUNNE) AGENT I,OLIN GENTRY AGENT,280000,,2016-01-27,KENTUCKY,T,,,,10.2,https://www.youtube.com/watch?v=pZkuNBhJjgk
