SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,38,DKB,C,DOMINUS,DESI GIRL,SILVER TRAIN,TIP THOROUGHBRED INVESTMENT POSSIBILITIES AGENT FOR DAN NORTHRUP,OUT,0,,02/16/2017,KENTUCKY,A&B,,,,,https://www.youtube.com/watch?v=DkITRW_QbeM
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,39,B,F,PAYNTER,DESTINY CALLS,WITH APPROVAL,TOM MCCROCKLIN AGENT,THOMSEN RACING LLC,20000,,05/10/2017,KENTUCKY,D,,,,11.3,https://www.youtube.com/watch?v=vgO351f317E
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,40,CH,F,ANIMAL KINGDOM,DIAMONDESQUE,ANY GIVEN SATURDAY,CHECKMATE THOROUGHBREDS LLC (ADRIAN GONZALEZ) AGENT,NOT SOLD,95000,,03/27/2017,KENTUCKY,C&D,,,,10.3,https://www.youtube.com/watch?v=rmDKlTk06Lg
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,41,DKB,C,CURLIN,DRIFT TO THE LEAD,YONAGUSKA,KINGS EQUINE AGENT,SAND RIDGE STABLES,250000,,05/17/2017,KENTUCKY,C,,,,10.3,https://www.youtube.com/watch?v=qnJFhnDsXEs
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,42,CH,F,LUCKY PULPIT,EASY EL,BENCHMARK,CHECKMATE THOROUGHBREDS LLC (ADRIAN GONZALEZ) AGENT,NOT SOLD,30000,,03/09/2017,CALIFORNIA,C&D,,,,11.1,https://www.youtube.com/watch?v=02QEM5Wx2WY
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,43,CH,F,FIRST SAMURAI,EASY EMMA,SILVER TRAIN,ROBERT & LUANNE BEAN,RAFAEL DE LEON,6000,,05/26/2017,CALIFORNIA,A,,,,11.4,https://www.youtube.com/watch?v=EZyccALJRJw
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,44,CH,F,LUCKY PULPIT,EIGHT DAUGHTERS,FIVE STAR DAY,TIP THOROUGHBRED INVESTMENT POSSIBILITIES AGENT VII,NOT SOLD,17000,,03/01/2017,CALIFORNIA,A&B,,,,10.3,https://www.youtube.com/watch?v=4xA54ktZKMw
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,45,B,F,BERNARDINI,ELBE (GB),DANSILI (GB),KINGS EQUINE AGENT,DONATO LANNI AGENT FOR SARAH KELLY,420000,,04/03/2017,KENTUCKY,C,,,,10.1,https://www.youtube.com/watch?v=Uh_mWbt3RVM
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,46,CH,F,WILL TAKE CHARGE,ELITE HUMOR,DISTORTED HUMOR,EXCEL BLOODSTOCK (BRUNO DEBERDT) AGENT,OMAR PEREZ,11000,,04/18/2017,KENTUCKY,D,,,,11.2,https://www.youtube.com/watch?v=_DbQS8ixQ9o
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,47,DKB,C,GOVENOR CHARLIE,ELUSIVE BEAUTY,ANY GIVEN SATURDAY,LOVACRES RANCH AGENT,OUT,0,,04/28/2017,CALIFORNIA,A,,,,12.2,https://www.youtube.com/watch?v=CpfZfKnquaY
