SALE TITLE,SESSION,HIP,COLOR,NAME,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
The Gulfstream Sale (2020),,113,B,,F,LIAM'S MAP,ALWAAN,ELUSIVE QUALITY,HOBY & LAYNA KIGHT AGENT,,,,04/28/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,114,CH,,F,DISTORTED HUMOR,AMBER GRACE,ELUSIVE QUALITY,EDDIE WOODS AGENT XI,,,,04/18/2018,PENNSYLVANIA,,,,
The Gulfstream Sale (2020),,115,CH,,F,CURLIN,ANABAA'S CREATION (IRE),ANABAA,SBM TRAINING & SALES LLC AGENT,,,,04/12/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,116,CH,MAGNIFICENT,C,FROSTED,ARCHDUCHESS,PLEASANT TAP,TOM MCCROCKLIN AGENT I,,,,04/21/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,117,B,,F,STREET SENSE,ARCHERS POST,SMART STRIKE,KIRKWOOD STABLES AGENT II,,,,05/02/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,118,CH,,C,TONALIST,ASH ZEE,EXCHANGE RATE,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT VII,,,,05/17/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,119,B,,C,UNCLE MO,AUCTION (IRE),MR. GREELEY,EDDIE WOODS AGENT XVI,,,,03/28/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,120,DKB,,C,OUTWORK,AUGUSTA QUEEN,FORESTRY,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT I,,,,04/15/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,121,DKB,,C,MEDAGLIA D'ORO,AUNTIE JOY,UNCLE MO,EDDIE WOODS AGENT XI,,,,03/14/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,122,B,,F,FLATTER,AURORA PROSPECT,ARCH,SEQUEL BLOODSTOCK AGENT,,,,03/02/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,123,CH,FORTUNATE SON,C,SPEIGHTSTER,AUSPICIOUS,INDIAN CHARLIE,TOM MCCROCKLIN AGENT II,,,,02/09/2018,NEW YORK,,,,
The Gulfstream Sale (2020),,124,B,,F,PALACE MALICE,BAYTREE,FORESTRY,RANDY MILES AGENT,,,,03/17/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,125,B,,C,INTO MISCHIEF,BELLINI SUNRISE,MACHIAVELLIAN,PICK VIEW LLC AGENT FOR GOLDEN STAR FARM,,,,04/28/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,126,B,,C,OUTWORK,BLUEGRASS ELLIE,BLUEGRASS CAT,DE MERIC SALES AGENT,,,,01/22/2018,NEW YORK,,,,
The Gulfstream Sale (2020),,127,DKB,,F,OUTWORK,BLUE ORLEANS,BLUEGRASS CAT,EDDIE WOODS AGENT XXVI,,,,03/02/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,128,CH,BOLD CONFECTION,F,CANDY RIDE (ARG),BOLD UNION,DIXIE UNION,CARY FROMMER AGENT,,,,03/07/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,129,B,,C,FROSTED,BOSTON LADY,BOSTON HARBOR,SBM TRAINING & SALES LLC AGENT,,,,03/22/2018,NEW YORK,,,,
The Gulfstream Sale (2020),,130,B,,F,INTO MISCHIEF,HUMOR ME COLONEL,COLONEL JOHN,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT XI,,,,03/15/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,131,CH,,F,TWIRLING CANDY,BOXFORD BELLE,AFLEET ALEX,TOM MCCROCKLIN AGENT III,,,,03/30/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,132,B,,C,NOT THIS TIME,BUSINESS DECISION,PUT IT BACK,RANDY BRADSHAW AGENT I,,,,03/24/2018,FLORIDA,,,,
The Gulfstream Sale (2020),,133,CH,,C,CURLIN,BYRAMA (GB),BYRON (GB),EDDIE WOODS AGENT XXXV,,,,03/22/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,134,GRR,,C,LIAM'S MAP,CANDY CAT CAN,LANGFUHR,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT XII,,,,01/30/2018,NEW YORK,,,,
The Gulfstream Sale (2020),,135,DKB,,F,UNION RAGS,CASTILLA,AFLEET ALEX,NIALL BRENNAN STABLES AGENT VIII,,,,03/03/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,136,B,,C,HARD SPUN,CATCH THE MOMENT,UNBRIDLED,SEQUEL BLOODSTOCK AGENT,,,,04/20/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,137,GRR,,C,INTO MISCHIEF,CHANTESS,UNBRIDLED'S SONG,BOBBY DODD AGENT,,,,03/30/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,138,DKB,,F,AMERICAN PHAROAH,CHOICE PEARL,ANY GIVEN SATURDAY,KIRKWOOD STABLES AGENT I,,,,02/11/2018,NEW YORK,,,,
The Gulfstream Sale (2020),,139,B,,F,FROSTED,CHUCKLING,INDIAN CHARLIE,NIALL BRENNAN STABLES AGENT I,,,,04/06/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,140,B,,C,CONSTITUTION,CITY RUN,CHEROKEE RUN,SGV THOROUGHBREDS LLC (STEVEN VENOSA) AGENT,,,,04/27/2018,NEW YORK,,,,
The Gulfstream Sale (2020),,141,B,,F,NYQUIST,CLASSIC NEEL,EL CORREDOR,NIALL BRENNAN STABLES AGENT V,,,,05/08/2018,ONTARIO,,,,
The Gulfstream Sale (2020),,142,B,,C,DISTORTED HUMOR,CLEAR PASAJ,SMOKE GLACKEN,SGV THOROUGHBREDS LLC (STEVEN VENOSA) AGENT,,,,03/24/2018,NEW YORK,,,,
The Gulfstream Sale (2020),,143,GRR,,F,LIAM'S MAP,COCOANUT ROW,MINESHAFT,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT,,,,03/31/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,144,DKB,,C,GHOSTZAPPER,COLORFUL,SMART STRIKE,NIALL BRENNAN STABLES AGENT III,,,,03/14/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,145,B,,C,UNION RAGS,COLOR ME FLYING,DISTORTED HUMOR,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT V,,,,03/28/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,146,B,,C,DECLARATION OF WAR,COMPETE,EL PRADO (IRE),KIRKWOOD STABLES AGENT III,,,,05/05/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,147,B,,F,AIR FORCE BLUE,CONQUEST STRATE UP,NOT BOURBON,HIDDEN BROOK AGENT I,,,,01/25/2018,KENTUCKY,,,,
